zipcode,longitude,latitude,number_of_orders
1505,-46.6328610313636,-23.5553965145709,2
1506,-46.6347918290437,-23.5618027332795,5
1507,-46.6316490750765,-23.5581974526805,3
1508,-46.6333461258584,-23.5601460724507,16
1509,-46.6354515072134,-23.5675905298344,7
1510,-46.6334474825149,-23.5561986566738,2
1511,-46.6330999128627,-23.5556823141843,10
1512,-46.6326188957816,-23.5536448986958,7
1513,-46.6310037048301,-23.5568955545329,1
1514,-46.627686255805,-23.5530643546826,3
1516,-46.6144620606497,-23.5594846619539,7
1517,-46.6248314542097,-23.5602479336661,3
1518,-46.6229237375786,-23.5589304446304,1
1519,-46.6218299017543,-23.5600752886491,3
1520,-46.6183188799699,-23.5592386661088,9
1521,-46.6208082238444,-23.5601238187719,5
1522,-46.6154669182584,-23.5591646749956,4
1523,-46.6192909118818,-23.5636637946217,3
1524,-46.616112,-23.5670455434244,2
1525,-46.6375287470137,-23.5670089031392,14
1526,-46.6300592031566,-23.5669021296094,12
1527,-46.6265801415546,-23.563144561198,12
1528,-46.6256780677189,-23.5632686230885,3
1529,-46.6369001400254,-23.5693531573663,12
1530,-46.7279602906732,-23.586145389376,4
1531,-46.632655158607,-23.5701241706965,4
1532,-46.6361368374978,-23.5720608476254,16
1533,-46.6391310982458,-23.5721985401062,6
1534,-46.6239112635465,-23.5628474038317,9
1535,-46.6249007822724,-23.5696180233135,5
1536,-46.6223439723591,-23.5625396323944,7
1537,-46.6219906666571,-23.5690227762998,4
1538,-46.62290025,-23.573205,3
1539,-46.6205806670898,-23.573782561198,4
1540,-46.6204983003058,-23.5646142012234,2
1541,-46.6188009239712,-23.5687222980841,5
1542,-46.6211456086618,-23.5708110519072,1
1543,-46.6200962550638,-23.5757558459519,6
1544,-46.6229119190951,-23.5769225034624,12
1545,-46.6178758329102,-23.5813730610538,2
1546,-46.6223596758324,-23.5762529511512,5
1547,-46.6232224504588,-23.5820235545329,7
1548,-46.6147108703906,-23.5783465567546,11
1549,-46.6170848484621,-23.5773212689422,4
1550,-46.615212267413,-23.5720361631947,1
1551,-46.6121623256968,-23.5766493805182,4
1552,-46.6110133729008,-23.5738359009175,9
2010,-46.6264058315252,-23.514929559813,2
2011,-46.6262291698128,-23.5019027702725,2
2012,-46.6275241896864,-23.5083612302857,4
2013,-46.6338229417162,-23.5030857485429,14
2016,-46.6271233340658,-23.5009776346906,4
2017,-46.6392065055918,-23.5013812508701,8
2018,-46.6310670817416,-23.493511048012,8
2019,-46.6285505399619,-23.498262,2
2020,-46.63226647192,-23.4990839169777,6
2021,-46.6338035327486,-23.4994399941716,12
2022,-46.6404323875852,-23.506237867454,18
2029,-46.6200893389029,-23.510936587354,4
2031,-46.6253165150725,-23.515068997457,3
2033,-46.6168810124935,-23.5021537934965,11
2034,-46.6246075311652,-23.5041227387769,1
2035,-46.6223325144267,-23.500395,8
2036,-46.6219612769923,-23.5021075037509,4
2037,-46.6187304132668,-23.4999865217843,6
2038,-46.6233534590571,-23.4985704934791,5
2039,-46.6205286217035,-23.4923106638871,1
2040,-46.621866902995,-23.4890229919499,5
2041,-46.6197299897282,-23.4901023213977,2
2042,-46.6190015023659,-23.4880223993883,5
2043,-46.6173255858965,-23.4902230407987,6
2044,-46.6189467069075,-23.4956808234751,5
